schema_name	object_name	object_kind
business	ai_company_manager_deliverable_pkey	i
business	aicm_human_review_item_pkey	i
business	aicm_leader_deliverable_requirement_pkey	i
business	aicm_leader_middle_work_item_pkey	i
business	aicm_manager_major_work_item_pkey	i
business	aicm_president_policy_pkey	i
business	aicm_worker_work_unit_pkey	i
business	idx_aicm_approval_deliverable_id	i
business	idx_aicm_deliverable_middle	i
business	idx_aicm_deliverable_parent_id	i
business	idx_aicm_deliverable_run_id	i
business	idx_aicm_deliverable_status	i
business	idx_aicm_human_review_department_section	i
business	idx_aicm_human_review_owner_company_status	i
business	idx_aicm_human_review_related_work_unit	i
business	idx_aicm_leader_middle_department_section	i
business	idx_aicm_leader_middle_major	i
business	idx_aicm_leader_middle_status	i
business	idx_aicm_manager_major_department_section	i
business	idx_aicm_manager_major_owner_company	i
business	idx_aicm_manager_major_policy	i
business	idx_aicm_manager_major_status	i
business	idx_aicm_president_policy_owner_company	i
business	idx_aicm_president_policy_status	i
business	idx_aicm_return_deliverable_id	i
business	idx_aicm_review_deliverable_id	i
business	idx_aicm_worker_unit_deliverable	i
business	ai_company_manager_deliverable	table
business	aicm_human_review_item	table
business	aicm_leader_deliverable_requirement	table
business	aicm_leader_middle_work_item	table
business	aicm_manager_major_work_item	table
business	aicm_president_policy	table
business	aicm_worker_work_unit	table
business	vw_aicm_human_review_wait_display	view
business	vw_aicm_pmlw_deliverable_requirement_display	view
business	vw_aicm_pmlw_leader_middle_display	view
business	vw_aicm_pmlw_major_work_display	view
business	vw_aicm_pmlw_president_policy_display	view
business	vw_aicm_pmlw_worker_work_unit_display	view
business	vw_aicm_pmlw_workflow_tree	view
(41 rows)
