table_schema	table_name	ordinal_position	column_name	data_type	is_nullable
business	ai_company_manager_deliverable	1	deliverable_id	uuid	NO
business	ai_company_manager_deliverable	2	pipeline_run_id	uuid	NO
business	ai_company_manager_deliverable	3	parent_deliverable_id	uuid	YES
business	ai_company_manager_deliverable	4	produced_by_role	text	NO
business	ai_company_manager_deliverable	5	produced_by_ref	text	YES
business	ai_company_manager_deliverable	6	deliverable_title	text	NO
business	ai_company_manager_deliverable	7	deliverable_type	text	NO
business	ai_company_manager_deliverable	8	content_ref	text	YES
business	ai_company_manager_deliverable	9	content_text	text	YES
business	ai_company_manager_deliverable	10	deliverable_status	text	NO
business	ai_company_manager_deliverable	11	version_no	integer	NO
business	ai_company_manager_deliverable	12	created_at	timestamp with time zone	NO
business	ai_company_manager_deliverable	13	updated_at	timestamp with time zone	NO
business	aicm_human_review_item	1	aicm_human_review_item_id	uuid	NO
business	aicm_human_review_item	2	owner_civilization_id	uuid	NO
business	aicm_human_review_item	3	aicm_user_company_id	uuid	NO
business	aicm_human_review_item	4	aicm_user_company_department_id	uuid	YES
business	aicm_human_review_item	5	aicm_user_company_section_id	uuid	YES
business	aicm_human_review_item	6	related_president_policy_id	uuid	YES
business	aicm_human_review_item	7	related_manager_major_work_item_id	uuid	YES
business	aicm_human_review_item	8	related_leader_middle_work_item_id	uuid	YES
business	aicm_human_review_item	9	related_deliverable_requirement_id	uuid	YES
business	aicm_human_review_item	10	related_worker_work_unit_id	uuid	YES
business	aicm_human_review_item	11	review_kind_code	text	NO
business	aicm_human_review_item	12	artifact_kind_code	text	NO
business	aicm_human_review_item	13	review_title	text	NO
business	aicm_human_review_item	14	delivery_summary_text	text	NO
business	aicm_human_review_item	15	main_changes_text	text	NO
business	aicm_human_review_item	16	ai_review_result_text	text	NO
business	aicm_human_review_item	17	unresolved_issues_text	text	NO
business	aicm_human_review_item	18	artifact_link	text	NO
business	aicm_human_review_item	19	responsible_ai_label	text	NO
business	aicm_human_review_item	20	requested_by_ai_label	text	NO
business	aicm_human_review_item	21	human_review_status_code	text	NO
business	aicm_human_review_item	22	priority_code	text	NO
business	aicm_human_review_item	23	due_date	date	YES
business	aicm_human_review_item	24	human_reviewer_label	text	NO
business	aicm_human_review_item	25	human_review_note	text	NO
business	aicm_human_review_item	26	requested_at	timestamp with time zone	NO
business	aicm_human_review_item	27	reviewed_at	timestamp with time zone	YES
business	aicm_human_review_item	28	display_order	integer	NO
business	aicm_human_review_item	29	metadata_jsonb	jsonb	NO
business	aicm_human_review_item	30	created_at	timestamp with time zone	NO
business	aicm_human_review_item	31	updated_at	timestamp with time zone	NO
business	aicm_leader_deliverable_requirement	1	aicm_leader_deliverable_requirement_id	uuid	NO
business	aicm_leader_deliverable_requirement	2	owner_civilization_id	uuid	NO
business	aicm_leader_deliverable_requirement	3	aicm_user_company_id	uuid	NO
business	aicm_leader_deliverable_requirement	4	aicm_leader_middle_work_item_id	uuid	NO
business	aicm_leader_deliverable_requirement	5	deliverable_name	text	NO
business	aicm_leader_deliverable_requirement	6	deliverable_type_code	text	NO
business	aicm_leader_deliverable_requirement	7	deliverable_description	text	NO
