schema_name	function_name	arguments	result_type
aiworker	fn_apply_worker_assignment_state	p_intake_id uuid, p_actor_type text, p_actor_id text, p_worker_id uuid, p_business_request_id uuid, p_gate_code text, p_requested_transition_code text, p_target_truth_surface text, p_payload_ref text, p_approval_ticket_id text, p_audit_required_flag boolean, p_reason_code text, p_requested_at timestamp with time zone	TABLE(success_flag boolean, result_code text, aiworker_status_code text, summary_code text, state_family_code text, old_state_code text, new_state_code text, related_entity_id uuid, event_id uuid, emitted_at timestamp with time zone)
aiworker	fn_apply_worker_availability_state	p_intake_id uuid, p_actor_type text, p_actor_id text, p_worker_id uuid, p_business_request_id uuid, p_gate_code text, p_requested_transition_code text, p_target_truth_surface text, p_payload_ref text, p_approval_ticket_id text, p_audit_required_flag boolean, p_reason_code text, p_requested_at timestamp with time zone	TABLE(success_flag boolean, result_code text, aiworker_status_code text, summary_code text, state_family_code text, old_state_code text, new_state_code text, related_entity_id uuid, event_id uuid, emitted_at timestamp with time zone)
aiworker	fn_apply_worker_growth_event	p_intake_id uuid, p_actor_type text, p_actor_id text, p_worker_id uuid, p_business_request_id uuid, p_gate_code text, p_requested_transition_code text, p_target_truth_surface text, p_payload_ref text, p_approval_ticket_id text, p_audit_required_flag boolean, p_reason_code text, p_requested_at timestamp with time zone	TABLE(success_flag boolean, result_code text, aiworker_status_code text, summary_code text, state_family_code text, old_state_code text, new_state_code text, related_entity_id uuid, event_id uuid, emitted_at timestamp with time zone)
aiworker	fn_apply_worker_privileged_context_change	p_intake_id uuid, p_actor_type text, p_actor_id text, p_worker_id uuid, p_business_request_id uuid, p_gate_code text, p_requested_transition_code text, p_target_truth_surface text, p_payload_ref text, p_approval_ticket_id text, p_audit_required_flag boolean, p_reason_code text, p_requested_at timestamp with time zone	TABLE(success_flag boolean, result_code text, aiworker_status_code text, summary_code text, state_family_code text, old_state_code text, new_state_code text, related_entity_id uuid, event_id uuid, emitted_at timestamp with time zone)
aiworker	fn_apply_worker_rebuild_transition	p_intake_id uuid, p_actor_type text, p_actor_id text, p_worker_id uuid, p_business_request_id uuid, p_gate_code text, p_requested_transition_code text, p_target_truth_surface text, p_payload_ref text, p_approval_ticket_id text, p_audit_required_flag boolean, p_reason_code text, p_requested_at timestamp with time zone	TABLE(success_flag boolean, result_code text, aiworker_status_code text, summary_code text, state_family_code text, old_state_code text, new_state_code text, related_entity_id uuid, event_id uuid, emitted_at timestamp with time zone)
aiworker	fn_apply_worker_repair_transition	p_intake_id uuid, p_actor_type text, p_actor_id text, p_worker_id uuid, p_business_request_id uuid, p_gate_code text, p_requested_transition_code text, p_target_truth_surface text, p_payload_ref text, p_approval_ticket_id text, p_audit_required_flag boolean, p_reason_code text, p_requested_at timestamp with time zone	TABLE(success_flag boolean, result_code text, aiworker_status_code text, summary_code text, state_family_code text, old_state_code text, new_state_code text, related_entity_id uuid, event_id uuid, emitted_at timestamp with time zone)
aiworker	fn_apply_worker_tendency_update	p_intake_id uuid, p_actor_type text, p_actor_id text, p_worker_id uuid, p_business_request_id uuid, p_gate_code text, p_requested_transition_code text, p_target_truth_surface text, p_payload_ref text, p_approval_ticket_id text, p_audit_required_flag boolean, p_reason_code text, p_requested_at timestamp with time zone	TABLE(success_flag boolean, result_code text, aiworker_status_code text, summary_code text, state_family_code text, old_state_code text, new_state_code text, related_entity_id uuid, event_id uuid, emitted_at timestamp with time zone)
aiworker	fn_assert_worker_mutable	p_worker_id uuid, p_allow_recovery boolean DEFAULT false	aiworker.worker_master
aiworker	fn_chat_worker_v0_mock_reply	p_prompt_code text	TABLE(out_activation_code text, out_prompt_code text, out_prompt_text text, out_reply_text text, out_safety_result text, out_used_cx_material_count integer, out_response_json jsonb)
aiworker	fn_chat_worker_v0_set_enabled	p_enabled boolean	TABLE(activation_code text, enabled_flag boolean, runtime_state_code text, cx_reference_enabled_flag boolean, startable_flag boolean)
aiworker	fn_president_capability_decision	p_president_model_code text, p_capability_code text	TABLE(out_president_model_code text, out_capability_code text, out_capability_label text, out_default_allowed_flag boolean, out_required_gate_code text, out_risk_level_code text, out_runtime_executable_flag boolean, out_decision_code text, out_decision_summary text)
aiworker	fn_president_manager_instruction_decision	p_instruction_code text	TABLE(out_instruction_code text, out_source_actor_type text, out_source_authority_role_code text, out_target_authority_role_code text, out_source_manager_level_no integer, out_target_manager_level_no integer, out_president_model_no text, out_president_authority_status text, out_president_runtime_state text, out_runtime_enabled_flag boolean, out_decision_code text, out_decision_summary text)
aiworker	fn_runtime_execution_create_request	p_app_surface_code text, p_model_code text, p_task_domain_code text, p_task_title text, p_task_instruction_ja text, p_source_app_ref text DEFAULT ''::text, p_source_request_ref text DEFAULT ''::text, p_requested_by_ref text DEFAULT 'human'::text, p_idempotency_key text DEFAULT NULL::text	uuid
aiworker	fn_runtime_execution_mark_delivery_ready	p_request_id uuid, p_delivery_title_ja text, p_delivery_summary_ja text, p_human_go_confirmed_flag boolean DEFAULT false, p_delivery_payload_jsonb jsonb DEFAULT '{}'::jsonb	uuid
aiworker	fn_runtime_execution_record_transition	p_request_id uuid, p_to_status_code text, p_transition_type_code text, p_transition_summary_ja text DEFAULT ''::text, p_transition_detail_jsonb jsonb DEFAULT '{}'::jsonb	uuid
aiworker	fn_runtime_execution_start_request	p_request_id uuid	uuid
aiworker	fn_runtime_execution_submit_leader_review	p_request_id uuid, p_review_result_code text, p_review_summary_ja text, p_review_detail_jsonb jsonb DEFAULT '{}'::jsonb	uuid
aiworker	fn_runtime_execution_submit_manager_gate	p_request_id uuid, p_gate_result_code text, p_gate_summary_ja text, p_gate_detail_jsonb jsonb DEFAULT '{}'::jsonb	uuid
