script	block	range	label_hits	dom_hits	production_hits	risk	recommended_action
assets/js/aicm-robot-placement-payload-preview.js	buildPayload	1219-1296	110	180	440	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-robot-placement-payload-preview.js	injectStyle	292-315	143	55	66	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-robot-placement-payload-preview.js	renderPreview	1297-1340	110	80	190	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-businessos-db-company-binding.js	render	136-218	25	105	55	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/phase-de-dh-workflow-final-local-ui.js	importCsv	4538-4652	85	5	70	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/phase-de-dh-workflow-final-local-ui.js	renderTaskLedger	1625-1676	4	66	10	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-worker-change-businessos-db-candidate-normalizer.js	normalizeOne	110-165	9	54	18	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/phase-de-dh-workflow-final-local-ui.js	previewCsv	2288-2311	16	24	0	debug_only_candidate	move_to_debug_only_or_disable_block
assets/js/aicm-robot-placement-payload-preview.js	UNKNOWN_BLOCK	1-31	20	16	24	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-businessos-db-robot-pool-wire.js	populateSelect	193-263	1	29	17	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-business-aiworker-bridge.js	buildPanelHtml	202-283	1	26	25	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-robot-placement-payload-preview.js	validatePayloadForPreview	714-776	6	20	56	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-business-aiworker-placement-client.js	buildPanelHtml	169-203	1	15	14	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-worker-change-businessos-db-candidate-normalizer.js	normalizeAll	162-192	1	9	0	debug_only_candidate	move_to_debug_only_or_disable_block
assets/js/aicm-business-aiworker-screen-filter.js	buildPanelHtml	201-228	1	8	3	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-legacy-local-robot-selection-guard.js	isValidBusinessOsSelection	50-68	1	8	3	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-company-legacy-dom-compatibility.js	ensureRoot	88-111	1	7	0	debug_only_candidate	move_to_debug_only_or_disable_block
assets/js/aicm-businessos-db-robot-pool-wire.js	updateStatusLines	272-301	1	7	6	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-robot-placement-payload-preview.js	removeExistingPreviewNodes	312-321	6	2	2	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-robot-placement-payload-preview.js	renderAll	1337-1365	8	0	24	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-existing-robot-assignment-select-sync.js	removePreviewNodes	32-41	6	2	2	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-existing-robot-assignment-select-sync.js	isPlaceholder	45-61	1	7	2	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/phase-de-dh-workflow-final-local-ui.js	buildCsvPreviewPayload	2712-2724	1	4	6	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/phase-de-dh-workflow-final-local-ui.js	createActionRouter	2836-2886	1	4	12	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-existing-robot-assignment-select-sync.js	textOf	38-48	1	4	1	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/phase-de-dh-workflow-final-local-ui.js	AicmApiRepositoryStub	729-736	0	4	6	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-business-aiworker-duplicate-guard.js	buildSmokeDraft	289-307	2	2	8	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-robot-placement-payload-preview.js	selectedRobotIsCanonicalBusinessOs	939-954	1	3	3	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-legacy-local-robot-selection-guard.js	optionMatchesRole	75-103	1	3	0	debug_only_candidate	move_to_debug_only_or_disable_block
assets/js/aicm-businessos-db-robot-pool-wire.js	optionLabel	172-192	1	2	4	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-robot-placement-payload-preview.js	businessOsRobotOptionText	922-942	1	2	4	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-robot-placement-payload-preview.js	row	1293-1300	2	1	1	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-legacy-local-robot-selection-guard.js	isPlaceholderText	42-53	1	2	1	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-worker-change-businessos-db-candidate-normalizer.js	isBusinessOsWorkerOption	21-37	1	2	0	debug_only_candidate	move_to_debug_only_or_disable_block
assets/js/phase-de-dh-workflow-final-local-ui.js	readCsvTextFromDom	4369-4394	1	1	1	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-business-aiworker-save-client.js	buildSmokeDraft	301-332	2	0	8	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-robot-placement-payload-preview.js	textOf	318-328	1	1	0	debug_only_candidate	move_to_debug_only_or_disable_block
assets/js/aicm-robot-placement-payload-preview.js	aicmFindRoleCompatibleStateRobot	1160-1189	1	1	10	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/aicm-business-aiworker-save-reload-bridge.js	buildSmokeSaveSuccessPayload	386-405	1	0	6	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/phase-de-dh-workflow-final-local-ui.js	AicmLocalRepository	370-379	0	0	8	coupled_do_not_disable_whole_file	split_or_gate_this_visible_debug_block_only
assets/js/phase-de-dh-workflow-final-local-ui.js	AicmActionAdapter	2373-2380	0	0	0	debug_only_candidate	move_to_debug_only_or_disable_block
