file	loaded_in_index	marker_hits	event_hits	storage_hits	api_hits	debug_hits	root_rewrite_hits	recommended_action
aicm-action-adapter.js	no	0	0	0	0	2	0	not_loaded_archive_candidate
aicm-action-handlers.js	no	0	0	12	0	1	0	not_loaded_archive_candidate
aicm-action-payload-builders.js	no	0	0	27	0	0	0	not_loaded_archive_candidate
aicm-action-router.js	no	0	0	0	0	1	0	not_loaded_archive_candidate
aicm-ai-company-settings-route-selected-company-hydrator.js	no	10	5	24	2	1	3	not_loaded_archive_candidate
aicm-api-client.js	no	1	0	0	1	0	0	not_loaded_archive_candidate
aicm-api-readonly-wiring-candidate.js	no	2	0	2	1	0	0	not_loaded_archive_candidate
aicm-api-repository-candidate.js	no	2	0	0	1	3	0	not_loaded_archive_candidate
aicm-api-repository-stub.js	no	1	0	0	20	1	0	not_loaded_archive_candidate
aicm-authoritative-selected-company-panel.js	yes	11	3	19	4	7	5	extract_or_remove_patch_layer
aicm-browser-readonly-fetch-disabled.js	no	2	0	1	1	0	0	not_loaded_archive_candidate
aicm-browser-write-api-disabled.js	no	2	0	0	0	0	0	not_loaded_archive_candidate
aicm-business-aiworker-api-config-client.js	yes	10	1	8	1	0	0	extract_or_remove_patch_layer
aicm-business-aiworker-auth-token-client.js	yes	6	1	8	0	0	0	extract_or_remove_patch_layer
aicm-business-aiworker-bridge.js	yes	5	4	10	0	2	2	extract_or_remove_patch_layer
aicm-business-aiworker-duplicate-guard.js	yes	23	4	3	2	2	1	extract_or_remove_patch_layer
aicm-business-aiworker-placement-client.js	yes	7	2	10	5	2	7	extract_or_remove_patch_layer
aicm-business-aiworker-reference-client.js	yes	8	1	0	1	0	0	extract_or_remove_patch_layer
aicm-business-aiworker-route-integration.js	yes	12	2	6	1	2	2	extract_or_remove_patch_layer
aicm-business-aiworker-save-client.js	yes	10	4	6	6	3	1	extract_or_remove_patch_layer
aicm-business-aiworker-save-double-submit-guard.js	yes	3	5	0	0	0	1	extract_or_remove_patch_layer
aicm-business-aiworker-save-reload-bridge.js	yes	0	6	13	3	2	3	review
aicm-business-aiworker-screen-filter.js	yes	2	2	8	2	2	5	extract_or_remove_patch_layer
aicm-businessos-db-company-binding.js	yes	13	6	8	2	6	5	extract_or_remove_patch_layer
aicm-businessos-db-robot-pool-wire.js	yes	14	8	37	21	8	2	extract_or_remove_patch_layer
aicm-company-change-white-screen-guard.js	yes	14	7	12	1	13	3	extract_or_remove_patch_layer
aicm-company-context-production-ui.js	yes	18	3	12	0	11	2	extract_or_remove_patch_layer
aicm-company-edit-action-stable-ui.js	yes	4	10	9	1	9	2	extract_or_remove_patch_layer
aicm-company-legacy-dom-compatibility.js	yes	17	4	10	0	1	7	extract_or_remove_patch_layer
aicm-company-local-action-wiring.js	no	4	4	14	0	0	0	not_loaded_archive_candidate
aicm-company-organization-read-bridge.js	yes	11	4	21	8	1	7	extract_or_remove_patch_layer
aicm-company-persistent-save-client.js	yes	4	6	1	1	0	3	extract_or_remove_patch_layer
aicm-company-persistent-write-smoke-executed.js	no	5	0	0	0	7	0	not_loaded_archive_candidate
aicm-company-settings-unified-safe-controller.js	yes	8	3	0	0	10	2	extract_or_remove_patch_layer
aicm-company-write-rollback-smoke-executed.js	no	5	0	0	0	7	0	not_loaded_archive_candidate
aicm-csv-local-action-wiring.js	no	13	6	29	0	22	0	not_loaded_archive_candidate
aicm-current-company-single-selector-ui.js	yes	11	4	6	0	12	2	extract_or_remove_patch_layer
aicm-dashboard-company-select-load-all-orgs.js	yes	11	3	15	4	1	6	extract_or_remove_patch_layer
aicm-dashboard-selected-company-context.js	no	20	3	13	53	0	4	not_loaded_archive_candidate
aicm-department-local-action-wiring.js	no	11	6	24	0	0	0	not_loaded_archive_candidate
aicm-department-persistent-write-smoke-executed.js	no	5	0	0	0	7	0	not_loaded_archive_candidate
aicm-department-write-rollback-smoke-executed.js	no	5	0	0	0	7	0	not_loaded_archive_candidate
aicm-exact-ai-company-selection-sync.js	yes	11	3	11	3	0	5	extract_or_remove_patch_layer
aicm-existing-robot-assignment-select-sync.js	yes	8	5	0	0	3	1	extract_or_remove_patch_layer
aicm-ledger-local-action-wiring.js	no	15	6	27	0	1	0	not_loaded_archive_candidate
aicm-ledger-write-rollback-smoke-executed.js	no	5	0	0	0	7	0	not_loaded_archive_candidate
aicm-legacy-local-robot-selection-guard.js	yes	14	5	0	0	3	0	extract_or_remove_patch_layer
aicm-local-repository.js	no	1	0	11	0	2	0	not_loaded_archive_candidate
aicm-local-wiring-pilot.js	no	5	1	0	0	0	0	not_loaded_archive_candidate
aicm-organization-local-action-wiring.js	no	15	6	31	0	0	0	not_loaded_archive_candidate
aicm-organization-persistent-write-smoke-executed.js	no	5	0	0	0	7	0	not_loaded_archive_candidate
aicm-organization-write-rollback-smoke-executed.js	no	5	0	0	0	7	0	not_loaded_archive_candidate
aicm-readonly-fetch-smoke-executed.js	no	4	0	0	1	4	0	not_loaded_archive_candidate
aicm-repository-mode-resolver-candidate.js	no	1	0	0	0	0	0	not_loaded_archive_candidate
aicm-repository-runtime.js	no	0	0	0	0	0	0	not_loaded_archive_candidate
aicm-repository.js	no	1	0	0	0	1	0	not_loaded_archive_candidate
aicm-review-local-action-wiring.js	no	13	6	23	0	1	0	not_loaded_archive_candidate
aicm-robot-placement-payload-preview.js	yes	22	6	7	3	42	3	extract_or_remove_patch_layer
aicm-robot-placement-persistent-save-client.js	yes	3	2	0	0	0	0	extract_or_remove_patch_layer
aicm-robot-reference-safe-dom-wire.js	yes	4	8	0	0	0	4	extract_or_remove_patch_layer
aicm-selected-company-organization-context-bridge.js	yes	13	4	16	9	0	6	extract_or_remove_patch_layer
aicm-selected-company-visible-consistency-fix.js	yes	13	5	7	3	0	2	extract_or_remove_patch_layer
aicm-state-adapter.js	no	0	0	6	0	0	0	not_loaded_archive_candidate
aicm-white-screen-visible-rescue.js	yes	12	4	0	0	2	13	extract_or_remove_patch_layer
aicm-worker-change-businessos-db-candidate-normalizer.js	yes	3	5	0	0	5	1	extract_or_remove_patch_layer
aicm-workflow-local-stub-wiring.js	no	15	6	24	0	2	0	not_loaded_archive_candidate
app.js	no	37	14	0	0	0	14	not_loaded_archive_candidate
phase-aa-operation-screens-extension.js	no	6	19	8	0	0	6	not_loaded_archive_candidate
phase-ab-stable-ui.js	no	4	1	8	0	0	7	not_loaded_archive_candidate
phase-ac-stable-ui.js	no	5	1	5	0	0	3	not_loaded_archive_candidate
phase-ad-stable-ui.js	no	5	1	5	0	0	3	not_loaded_archive_candidate
phase-ae-stable-ui.js	no	9	4	5	0	0	5	not_loaded_archive_candidate
phase-af-stable-ui.js	no	17	7	7	0	13	19	not_loaded_archive_candidate
phase-ag-stable-ui.js	no	22	10	9	0	13	23	not_loaded_archive_candidate
phase-ah-stable-ui.js	no	30	13	11	0	13	27	not_loaded_archive_candidate
phase-ai-company-common-rules-small.js	no	1	1	0	0	0	2	not_loaded_archive_candidate
phase-ai-html-freeze-guard.js	no	2	6	0	0	0	1	not_loaded_archive_candidate
phase-aj-clean-ui.js	no	3	1	3	0	8	8	not_loaded_archive_candidate
phase-ak-simplified-ui.js	no	4	1	20	0	8	5	not_loaded_archive_candidate
phase-am-dashboard-detail-ui.js	no	4	1	19	0	8	5	not_loaded_archive_candidate
phase-an-split-add-edit-ui.js	no	4	1	19	0	8	5	not_loaded_archive_candidate
