line	src	exists	debug_hits	production_hits	dangerous_dom_hits	classification	recommended_action
12	assets/js/aicm-company-legacy-dom-compatibility.js?v=20260429_ado_adr_company_select_unfreeze_v2	yes	45	37	18	coupled_debug_and_production	split_core_and_debug_before_disabling
15	./assets/js/phase-de-dh-workflow-final-local-ui.js?v=20260430_065125_ajp_ajs_no_hidden_company_select	yes	481	1471	20	coupled_debug_and_production	split_core_and_debug_before_disabling
17	../_aiworker/assets/js/business-aiworker-aicm-connector.js	yes	10	56	0	coupled_debug_and_production	split_core_and_debug_before_disabling
18	assets/js/aicm-business-aiworker-bridge.js	yes	39	65	5	coupled_debug_and_production	split_core_and_debug_before_disabling
20	assets/js/aicm-business-aiworker-save-client.js	yes	28	74	4	coupled_debug_and_production	split_core_and_debug_before_disabling
22	assets/js/aicm-business-aiworker-placement-client.js	yes	48	88	9	coupled_debug_and_production	split_core_and_debug_before_disabling
24	assets/js/aicm-business-aiworker-route-integration.js	yes	28	45	6	coupled_debug_and_production	split_core_and_debug_before_disabling
26	assets/js/aicm-business-aiworker-screen-filter.js	yes	34	54	8	coupled_debug_and_production	split_core_and_debug_before_disabling
28	assets/js/aicm-business-aiworker-save-reload-bridge.js	yes	28	86	8	coupled_debug_and_production	split_core_and_debug_before_disabling
30	assets/js/aicm-business-aiworker-duplicate-guard.js	yes	60	65	4	coupled_debug_and_production	split_core_and_debug_before_disabling
32	assets/js/aicm-business-aiworker-save-double-submit-guard.js	yes	11	63	4	coupled_debug_and_production	split_core_and_debug_before_disabling
34	assets/js/aicm-business-aiworker-auth-token-client.js	yes	1	18	0	coupled_debug_and_production	split_core_and_debug_before_disabling
36	assets/js/aicm-business-aiworker-api-config-client.js	yes	1	35	0	coupled_debug_and_production	split_core_and_debug_before_disabling
38	assets/js/aicm-business-aiworker-reference-client.js	yes	1	22	0	coupled_debug_and_production	split_core_and_debug_before_disabling
39	./assets/js/aicm-robot-reference-safe-dom-wire.js?v=aicm_ref_v3_declutter	yes	39	25	6	coupled_debug_and_production	split_core_and_debug_before_disabling
40	./assets/js/aicm-businessos-db-robot-pool-wire.js?v=aicm_businessos_db_robot_pool_label_v4	yes	28	89	6	coupled_debug_and_production	split_core_and_debug_before_disabling
41	./assets/js/aicm-robot-placement-payload-preview.js?v=aicm_final_payload_role_model_normalizer_v13_1777409448948	yes	182	393	5	coupled_debug_and_production	split_core_and_debug_before_disabling
42	./assets/js/aicm-existing-robot-assignment-select-sync.js?v=aicm_existing_assignment_select_sync_robust_v2_1777380924546	yes	22	40	1	coupled_debug_and_production	split_core_and_debug_before_disabling
43	./assets/js/aicm-businessos-db-company-binding.js?v=aicm_company_binding_screen_scoped_persistent_v3_1777383822825	yes	46	40	5	coupled_debug_and_production	split_core_and_debug_before_disabling
44	./assets/js/aicm-legacy-local-robot-selection-guard.js?v=aicm_guard_remove_placement_prefix_role_shortcut_v2_1777408953353	yes	20	23	0	coupled_debug_and_production	split_core_and_debug_before_disabling
45	./assets/js/aicm-worker-change-businessos-db-candidate-normalizer.js?v=aicm_worker_change_force_db_clone_v2_20260429_063723	yes	12	12	5	coupled_debug_and_production	split_core_and_debug_before_disabling
46	assets/js/aicm-robot-placement-persistent-save-client.js?v=20260429_robot_save_disabled_company_first	yes	8	20	3	coupled_debug_and_production	split_core_and_debug_before_disabling
47	assets/js/aicm-company-persistent-save-client.js?v=20260430_065125_ajp_ajs_no_hidden_company_select	yes	5	36	6	coupled_debug_and_production	split_core_and_debug_before_disabling
