AICompanyManager V10L-C2D5 dispatcher candidate ranking
DB_WRITE=NO
API_POST=NO
CORE_PATCH=YES
SERVER_PATCH=NO

score=310; function=h; lines=4265-7866; hasHandlerCall=true; hasRouteAction=true; hasRoutePrefix=true; hasDataCoreAction=true; hasClosest=true; hasClick=false
score=220; function=aicmInstallLeaderHandoffConfirmCardBridgeR8SV9F4B; lines=8651-8763; hasHandlerCall=true; hasRouteAction=false; hasRoutePrefix=false; hasDataCoreAction=true; hasClosest=true; hasClick=true
score=220; function=aicmR8ZNHtml; lines=7857-8983; hasHandlerCall=true; hasRouteAction=false; hasRoutePrefix=false; hasDataCoreAction=true; hasClosest=true; hasClick=true
score=220; function=aicmRenderLeaderHandoffConfirmCardR8SV9F4B; lines=8568-11495; hasHandlerCall=true; hasRouteAction=false; hasRoutePrefix=false; hasDataCoreAction=true; hasClosest=true; hasClick=true
score=185; function=aicmR8zV9f4bLeaderHandoffClickBridge; lines=8669-8753; hasHandlerCall=true; hasRouteAction=false; hasRoutePrefix=false; hasDataCoreAction=true; hasClosest=true; hasClick=false
score=180; function=aicmR8zC2cRenderRoutePicker; lines=5982-6070; hasHandlerCall=false; hasRouteAction=true; hasRoutePrefix=true; hasDataCoreAction=true; hasClosest=false; hasClick=false
score=120; function=r8zV4bEsc; lines=8975-11515; hasHandlerCall=false; hasRouteAction=false; hasRoutePrefix=false; hasDataCoreAction=true; hasClosest=true; hasClick=true
score=120; function=renderReviewListPlaceholder; lines=8955-11800; hasHandlerCall=false; hasRouteAction=false; hasRoutePrefix=false; hasDataCoreAction=true; hasClosest=true; hasClick=true
score=110; function=aicmInstallR8zV9g5DeleteConfirmExecuteBridge; lines=8307-8379; hasHandlerCall=false; hasRouteAction=false; hasRoutePrefix=false; hasDataCoreAction=true; hasClosest=true; hasClick=true
score=110; function=aicmR8ZCHtml; lines=7637-8579; hasHandlerCall=false; hasRouteAction=false; hasRoutePrefix=false; hasDataCoreAction=true; hasClosest=true; hasClick=true
score=100; function=installClickBridge; lines=13871-13897; hasHandlerCall=false; hasRouteAction=false; hasRoutePrefix=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=100; function=installClickBridge; lines=13404-13430; hasHandlerCall=false; hasRouteAction=false; hasRoutePrefix=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=100; function=esc; lines=13449-14078; hasHandlerCall=false; hasRouteAction=false; hasRoutePrefix=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=100; function=v10cEsc; lines=12669-13458; hasHandlerCall=false; hasRouteAction=false; hasRoutePrefix=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=100; function=esc; lines=12963-13925; hasHandlerCall=false; hasRouteAction=false; hasRoutePrefix=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=100; function=installAicmR8zV10d2InlineArtifactDetail; lines=13444-14455; hasHandlerCall=false; hasRouteAction=false; hasRoutePrefix=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=100; function=installAicmR8zV10cReviewListDirectContextRenderer; lines=12664-13905; hasHandlerCall=false; hasRouteAction=false; hasRoutePrefix=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=95; function=aicmR8ZOEscape; lines=11001-11821; hasHandlerCall=false; hasRouteAction=false; hasRoutePrefix=false; hasDataCoreAction=true; hasClosest=true; hasClick=true
score=85; function=handleRootClick; lines=10547-10899; hasHandlerCall=false; hasRouteAction=false; hasRoutePrefix=false; hasDataCoreAction=true; hasClosest=true; hasClick=false
score=75; function=aicmR8zV9g5DeleteConfirmClickBridge; lines=8313-8369; hasHandlerCall=false; hasRouteAction=false; hasRoutePrefix=false; hasDataCoreAction=true; hasClosest=true; hasClick=false
