AICompanyManager V10L-C2D5R1 dispatcher candidate ranking
DB_WRITE=NO
API_POST=NO
CORE_PATCH=YES
SERVER_PATCH=NO

score=270; function=aicmInstallLeaderHandoffConfirmCardBridgeR8SV9F4B; lines=8651-8763; size=4061; fetchCount=0; hasHandlerCall=true; hasRoutePrefix=false; hasMgrMajorCard=true; hasDataCoreAction=true; hasClosest=true; hasClick=true
score=235; function=aicmR8zV9f4bLeaderHandoffClickBridge; lines=8669-8753; size=2758; fetchCount=0; hasHandlerCall=true; hasRoutePrefix=false; hasMgrMajorCard=true; hasDataCoreAction=true; hasClosest=true; hasClick=false
score=225; function=aicmR8ZNHtml; lines=7857-8983; size=40168; fetchCount=6; hasHandlerCall=true; hasRoutePrefix=false; hasMgrMajorCard=true; hasDataCoreAction=true; hasClosest=true; hasClick=true
score=225; function=aicmRenderLeaderHandoffConfirmCardR8SV9F4B; lines=8568-11495; size=108180; fetchCount=7; hasHandlerCall=true; hasRoutePrefix=false; hasMgrMajorCard=true; hasDataCoreAction=true; hasClosest=true; hasClick=true
score=215; function=h; lines=4265-7866; size=122306; fetchCount=5; hasHandlerCall=true; hasRoutePrefix=true; hasMgrMajorCard=true; hasDataCoreAction=true; hasClosest=true; hasClick=false
score=120; function=aicmInstallR8zV9g5DeleteConfirmExecuteBridge; lines=8307-8379; size=2834; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=true; hasClick=true
score=120; function=aicmR8zC2cRenderRoutePicker; lines=5982-6070; size=5001; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=true; hasMgrMajorCard=true; hasDataCoreAction=true; hasClosest=false; hasClick=false
score=100; function=installClickBridge; lines=13871-13897; size=1209; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=100; function=installClickBridge; lines=13404-13430; size=1213; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=100; function=esc; lines=13449-14078; size=22950; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=100; function=v10cEsc; lines=12669-13458; size=28648; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=85; function=aicmR8zV9g5DeleteConfirmClickBridge; lines=8313-8369; size=2240; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=true; hasClick=false
score=85; function=handleRootClick; lines=10547-10899; size=10730; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=true; hasClick=false
score=80; function=aicmR8zMgrMajorCardRenderCheckbox; lines=5212-5223; size=767; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=true; hasDataCoreAction=true; hasClosest=false; hasClick=false
score=80; function=aicmR8zMgrMajorCardRenderOperationPanel; lines=6288-6313; size=1262; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=true; hasDataCoreAction=true; hasClosest=false; hasClick=false
score=80; function=handle; lines=14684-14744; size=2186; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=80; function=aicmR8zMgrMajorCardRenderConfirm; lines=6204-6280; size=3861; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=true; hasDataCoreAction=true; hasClosest=false; hasClick=false
score=80; function=esc; lines=12963-13925; size=35592; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=80; function=installAicmR8zV10d2InlineArtifactDetail; lines=13444-14455; size=36012; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=80; function=installAicmR8zV10cReviewListDirectContextRenderer; lines=12664-13905; size=45789; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
