AICompanyManager V10L-C2D5R3 dispatcher candidate ranking
DB_WRITE=NO
API_POST=NO
CORE_PATCH=YES
SERVER_PATCH=NO

score=405; function=aicmInstallLeaderHandoffConfirmCardBridgeR8SV9F4B; lines=8736-8920; size=6851; fetchCount=0; hasHandlerCall=true; hasRoutePrefix=true; hasMgrMajorCard=true; hasDataCoreAction=true; hasClosest=true; hasClick=true
score=405; function=aicmR8ZNHtml; lines=7942-9140; size=42958; fetchCount=6; hasHandlerCall=true; hasRoutePrefix=true; hasMgrMajorCard=true; hasDataCoreAction=true; hasClosest=true; hasClick=true
score=405; function=aicmRenderLeaderHandoffConfirmCardR8SV9F4B; lines=8653-11652; size=110970; fetchCount=7; hasHandlerCall=true; hasRoutePrefix=true; hasMgrMajorCard=true; hasDataCoreAction=true; hasClosest=true; hasClick=true
score=355; function=h; lines=4265-7951; size=127283; fetchCount=5; hasHandlerCall=true; hasRoutePrefix=true; hasMgrMajorCard=true; hasDataCoreAction=true; hasClosest=true; hasClick=false
score=295; function=aicmR8zV9f4bLeaderHandoffClickBridge; lines=8826-8910; size=2758; fetchCount=0; hasHandlerCall=true; hasRoutePrefix=false; hasMgrMajorCard=true; hasDataCoreAction=true; hasClosest=true; hasClick=false
score=160; function=aicmR8zC2cRenderRoutePicker; lines=5982-6070; size=5001; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=true; hasMgrMajorCard=true; hasDataCoreAction=true; hasClosest=false; hasClick=false
score=145; function=aicmInstallR8zV9g5DeleteConfirmExecuteBridge; lines=8392-8464; size=2834; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=true; hasClick=true
score=145; function=aicmR8ZCHtml; lines=7722-8664; size=33965; fetchCount=4; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=true; hasClick=true
score=145; function=r8zV4bEsc; lines=9132-11672; size=94244; fetchCount=5; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=true; hasClick=true
score=145; function=renderReviewListPlaceholder; lines=9112-11957; size=104486; fetchCount=6; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=true; hasClick=true
score=125; function=aicmR8ZOEscape; lines=11158-11978; size=33023; fetchCount=1; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=true; hasClick=true
score=120; function=installClickBridge; lines=14028-14054; size=1209; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=120; function=installClickBridge; lines=13561-13587; size=1213; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=120; function=esc; lines=13606-14235; size=22950; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=120; function=v10cEsc; lines=12826-13615; size=28648; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=120; function=esc; lines=13120-14082; size=35592; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=120; function=installAicmR8zV10d2InlineArtifactDetail; lines=13601-14612; size=36012; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=120; function=installAicmR8zV10cReviewListDirectContextRenderer; lines=12821-14062; size=45789; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=false; hasClick=true
score=105; function=aicmR8zV9g5DeleteConfirmClickBridge; lines=8398-8454; size=2240; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=true; hasClick=false
score=105; function=handleRootClick; lines=10704-11056; size=10730; fetchCount=0; hasHandlerCall=false; hasRoutePrefix=false; hasMgrMajorCard=false; hasDataCoreAction=true; hasClosest=true; hasClick=false
