table_schema	table_name	ordinal_position	column_name	data_type
aiworker	vw_app_aiworker_robot_selection_card_v1	1	registry_code	text
aiworker	vw_app_aiworker_robot_selection_card_v1	2	manufacturer_code	text
aiworker	vw_app_aiworker_robot_selection_card_v1	3	manufacturer_name_ja	text
aiworker	vw_app_aiworker_robot_selection_card_v1	4	series_code	text
aiworker	vw_app_aiworker_robot_selection_card_v1	5	series_name_ja	text
aiworker	vw_app_aiworker_robot_selection_card_v1	6	model_code	text
aiworker	vw_app_aiworker_robot_selection_card_v1	7	model_no	text
aiworker	vw_app_aiworker_robot_selection_card_v1	8	model_name_ja	text
aiworker	vw_app_aiworker_robot_selection_card_v1	9	role_layer_name_ja	text
aiworker	vw_app_aiworker_robot_selection_card_v1	10	model_category_code	text
aiworker	vw_app_aiworker_robot_selection_card_v1	11	app_selection_badge_ja	text
aiworker	vw_app_aiworker_robot_selection_card_v1	12	public_summary_ja	text
aiworker	vw_app_aiworker_robot_selection_card_v1	13	capability_summary_ja	text
aiworker	vw_app_aiworker_robot_selection_card_v1	14	personality_summary_ja	text
aiworker	vw_app_aiworker_robot_selection_card_v1	15	safety_note_ja	text
aiworker	vw_app_aiworker_robot_selection_card_v1	16	series_precision_ja	text
aiworker	vw_app_aiworker_robot_selection_card_v1	17	series_agility_ja	text
aiworker	vw_app_aiworker_robot_selection_card_v1	18	series_coordination_ja	text
aiworker	vw_app_aiworker_robot_selection_card_v1	19	series_continuity_ja	text
aiworker	vw_app_aiworker_robot_selection_card_v1	20	series_specialization_depth_ja	text
aiworker	vw_app_aiworker_robot_selection_card_v1	21	series_creativity_ja	text
aiworker	vw_app_aiworker_robot_selection_card_v1	22	series_review_depth_ja	text
aiworker	vw_app_aiworker_robot_selection_card_v1	23	series_stability_ja	text
aiworker	vw_app_aiworker_robot_selection_card_v1	24	model_capability_override_summary_ja	text
aiworker	vw_app_aiworker_robot_selection_card_v1	25	model_capability_override_count	bigint
aiworker	vw_app_aiworker_robot_selection_card_v1	26	high_function_business_specialized_flag	boolean
aiworker	vw_app_aiworker_robot_selection_card_v1	27	capability_card_jsonb	jsonb
aiworker	vw_app_aiworker_robot_selection_card_v1	28	public_traits_jsonb	jsonb
aiworker	vw_app_aiworker_robot_selection_card_v1	29	recommended_usage_jsonb	jsonb
aiworker	vw_app_aiworker_robot_selection_card_v1	30	sort_order	integer
aiworker	vw_app_aiworker_runtime_control_profile_v1	1	app_surface_code	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	2	app_surface_name_ja	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	3	app_category_code	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	4	manufacturer_code	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	5	manufacturer_name_ja	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	6	series_code	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	7	series_name_ja	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	8	model_code	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	9	model_no	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	10	model_name_ja	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	11	role_layer_code	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	12	role_layer_name_ja	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	13	model_category_code	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	14	app_selection_badge_ja	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	15	high_function_business_specialized_flag	boolean
aiworker	vw_app_aiworker_runtime_control_profile_v1	16	operation_mode_code	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	17	self_review_pass_count	integer
aiworker	vw_app_aiworker_runtime_control_profile_v1	18	proposal_count_min	integer
aiworker	vw_app_aiworker_runtime_control_profile_v1	19	proposal_count_max	integer
aiworker	vw_app_aiworker_runtime_control_profile_v1	20	response_style_code	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	21	required_checklist_code	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	22	context_scope_code	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	23	cx_reference_depth_code	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	24	handoff_format_code	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	25	handoff_required_flag	boolean
aiworker	vw_app_aiworker_runtime_control_profile_v1	26	review_required_flag	boolean
aiworker	vw_app_aiworker_runtime_control_profile_v1	27	human_go_required_flag	boolean
aiworker	vw_app_aiworker_runtime_control_profile_v1	28	external_execution_allowed_flag	boolean
aiworker	vw_app_aiworker_runtime_control_profile_v1	29	pg_apply_allowed_flag	boolean
aiworker	vw_app_aiworker_runtime_control_profile_v1	30	destructive_action_allowed_flag	boolean
aiworker	vw_app_aiworker_runtime_control_profile_v1	31	allowed_actions_jsonb	jsonb
aiworker	vw_app_aiworker_runtime_control_profile_v1	32	forbidden_actions_jsonb	jsonb
aiworker	vw_app_aiworker_runtime_control_profile_v1	33	prompt_fragment_codes_jsonb	jsonb
aiworker	vw_app_aiworker_runtime_control_profile_v1	34	capability_card_jsonb	jsonb
aiworker	vw_app_aiworker_runtime_control_profile_v1	35	model_capability_override_summary_ja	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	36	model_focus_ja	text
aiworker	vw_app_aiworker_runtime_control_profile_v1	37	runtime_control_jsonb	jsonb
aiworker	vw_app_aiworker_runtime_control_profile_v1	38	model_sort_order	integer
aiworker	vw_app_aiworker_runtime_control_profile_v1	39	app_sort_order	integer
(69 rows)
