schema_name	object_name	object_kind
aiworker	ix_runtime_execution_event_log_request	i
aiworker	ix_runtime_execution_transition_log_request	i
aiworker	runtime_execution_app_api_contract_pkey	i
aiworker	runtime_execution_event_log_pkey	i
aiworker	runtime_execution_request_pkey	i
aiworker	runtime_execution_request_request_code_key	i
aiworker	runtime_execution_state_catalog_pkey	i
aiworker	runtime_execution_transition_log_pkey	i
aiworker	ux_runtime_execution_request_idempotency_key	i
aiworker	runtime_execution_app_api_contract	r
aiworker	runtime_execution_event_log	r
aiworker	runtime_execution_request	r
aiworker	runtime_execution_state_catalog	r
aiworker	runtime_execution_transition_log	r
aiworker	vw_app_aiworker_runtime_execution_api_contract_v1	v
aiworker	vw_app_aiworker_runtime_execution_app_read_payload_v1	v
aiworker	vw_app_aiworker_runtime_execution_endpoint_ready_v1	v
aiworker	vw_app_aiworker_runtime_execution_gate_board_v1	v
aiworker	vw_app_aiworker_runtime_execution_intake_payload_v1	v
aiworker	vw_app_aiworker_runtime_execution_persistent_smoke_board_v1	v
aiworker	vw_app_aiworker_runtime_execution_request_board_v1	v
aiworker	vw_app_aiworker_runtime_full_pipeline_board_v1	v
aiworker	vw_wlm_execution_pipeline_board_v1	v
(23 rows)
