CURRENT_ROLE|postgres|postgres|none|on
CURRENT_ROLE_FLAGS|postgres|false|true|true|true
NON_BYPASS_LOGIN_ROLE_CANDIDATE|authenticator|false|false|true
NON_BYPASS_LOGIN_ROLE_CANDIDATE|pgbouncer|false|false|true
NON_BYPASS_LOGIN_ROLE_CANDIDATE|supabase_auth_admin|false|false|true
NON_BYPASS_LOGIN_ROLE_CANDIDATE|supabase_functions_admin|false|false|true
NON_BYPASS_LOGIN_ROLE_CANDIDATE|supabase_replication_admin|false|false|true
NON_BYPASS_LOGIN_ROLE_CANDIDATE|supabase_storage_admin|false|false|true
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__app_worker|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__approval_request_compiler|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__assault_unit|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__audit_support|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__battle_director|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__calculation_assist|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__case_clerk|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__commentator|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__consult_support|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__cross_controller_aggregator|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__curriculum_guide|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__daily_task_assist|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__defense_unit|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__document_clerk|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__document_worker|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__document_writer|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__draft_assist|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__escalation_controller|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__escort_unit|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__essay_or_oral_support|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__exercise_coach|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__explanation_instructor|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__external_app_worker|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__filing_clerk|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__form_clerk|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__heavy_unit|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__inquiry_clerk|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__lab_instructor_support|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__learning_progress_support|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__live_reaction|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__master_controller|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__meal_planner|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__mock_exam_support|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__moderation_support|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__npc|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__operation_orchestration|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__operator_help|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__opponent|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__party_member|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__past_question_coach|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__privileged_assist|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__privileged_exam_audit_support|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__qualification_lecturer|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__queue_controller|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__queue_support|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__recon_unit|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__reporting_controller|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__research_assist|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__research_worker|false|false|false
NON_BYPASS_NONLOGIN_ROLE_CANDIDATE|aiemp_role__retry_support|false|false|false
