SCHEMA_PRIVILEGE|aiemp_role__app_worker|business|USAGE|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_contract|INSERT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_contract|SELECT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_contract|UPDATE|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_contract_line|INSERT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_contract_line|SELECT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_contract_line|UPDATE|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_end_summary|INSERT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_end_summary|SELECT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_end_summary|UPDATE|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_entitlement_balance|INSERT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_entitlement_balance|SELECT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_entitlement_balance|UPDATE|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_entitlement_grant|INSERT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_entitlement_grant|SELECT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_entitlement_grant|UPDATE|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_entitlement_usage|INSERT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_entitlement_usage|SELECT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_entitlement_usage|UPDATE|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_payment_intent|INSERT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_payment_intent|SELECT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_payment_intent|UPDATE|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_period|INSERT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_period|SELECT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_period|UPDATE|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_safety_event|INSERT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_safety_event|SELECT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_safety_event|UPDATE|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_status_history|INSERT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_status_history|SELECT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_status_history|UPDATE|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_usage_log|INSERT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_usage_log|SELECT|false
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_usage_log|UPDATE|false
