SCHEMA_PRIVILEGE|aiemp_role__app_worker|business|USAGE|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_contract|INSERT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_contract|SELECT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_contract|UPDATE|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_contract_line|INSERT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_contract_line|SELECT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_contract_line|UPDATE|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_end_summary|INSERT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_end_summary|SELECT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_end_summary|UPDATE|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_entitlement_balance|INSERT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_entitlement_balance|SELECT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_entitlement_balance|UPDATE|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_entitlement_grant|INSERT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_entitlement_grant|SELECT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_entitlement_grant|UPDATE|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_entitlement_usage|INSERT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_entitlement_usage|SELECT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_entitlement_usage|UPDATE|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_payment_intent|INSERT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_payment_intent|SELECT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_payment_intent|UPDATE|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_period|INSERT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_period|SELECT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_period|UPDATE|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_safety_event|INSERT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_safety_event|SELECT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_safety_event|UPDATE|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_status_history|INSERT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_status_history|SELECT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_status_history|UPDATE|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_usage_log|INSERT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_usage_log|SELECT|true
TABLE_PRIVILEGE|aiemp_role__app_worker|business.worker_rental_usage_log|UPDATE|true
